node.node_id,session_id,begin.sys_time,end.sys_time,begin.gps_info.gps_time,end.gps_info.gps_time,begin.gps_info.coords.lat,end.gps_info.coords.lat,begin.gps_info.coords.lon,end.gps_info.coords.lon,duration,mac_hash
2052,"d087e64fa7251b6f841c2086e7cae5260b41e3e0","2018-03-30T23:59:06.000Z","2018-03-31T00:09:07.000Z","2018-03-30T23:59:08.000Z","2018-03-31T00:09:09.000Z",1.2949166,1.2918667,103.78458,103.78052,69,"c18c1b446f5a79e5ec55a0cd11fe3aed2c1fdc1d"
2060,"0c724e020e15de186f3923310a9829e03e233c21","2018-03-31T00:00:03.000Z","2018-03-31T00:16:24.000Z","2018-03-31T00:00:02.000Z","2018-03-31T00:16:22.000Z",1.3036,1.2947,103.77454,103.77486,611,"2d00572ca1b2a1c67a292bfb64aefc89a69785c0"
2060,"40951d4468c02d6ee2e05806c3a678fff3c11f47","2018-03-31T00:00:20.000Z","2018-03-31T00:10:21.000Z","2018-03-31T00:00:20.000Z","2018-03-31T00:10:20.000Z",1.3036667,1.2934333,103.77537,103.77512,228,"e5036eb173a5fd317372b27025d56eb7ac0846fe"
2042,"14921535ccdcf90b6ac0d936ef4f76e905cee3ac","2018-03-31T00:00:39.000Z","2018-03-31T00:10:41.000Z","2018-03-31T00:00:38.000Z","2018-03-31T00:10:39.000Z",1.2919333,1.2994334,103.7804,103.77475,32,"bf1023a29d889fca1e1f35c521d862e767a24ce0"
2052,"b10c09fcecea9b6b8ebd5064518449c8fa814194","2018-03-31T00:00:52.000Z","2018-03-31T00:10:56.000Z","2018-03-31T00:00:54.000Z","2018-03-31T00:10:58.000Z",1.2918333,1.2918667,103.78312,103.78052,21,"52eeb504014f576fa4c5ce0b195fa277af34943a"
2060,"8fe631983286645092d26036dd656473efa3728f","2018-03-31T00:02:30.000Z","2018-03-31T00:12:31.000Z","2018-03-31T00:02:30.000Z","2018-03-31T00:12:30.000Z",1.2988334,1.2947,103.77431,103.77482,13,"e0b96d51b7590aa357b35661bba21f65781c6954"
2024,"b290037beafa37f319c58383712789711d2e9111","2018-03-31T00:02:54.000Z","2018-03-31T00:17:56.000Z",null,"2018-03-31T00:17:58.000Z",null,1.2918667,null,103.78052,471,"163fee2ff3a12094083227a28a20ab34293e5c81"
2078,"7a73e5c57c36e62dc46ea5a2976a03a38879376b","2018-03-31T00:03:12.000Z","2018-03-31T00:14:04.000Z","2018-03-31T00:03:11.000Z","2018-03-31T00:14:03.000Z",1.3000333,1.2945666,103.7745,103.77495,68,"16271783b88f3fb60005da7426c6a22a2c088d09"
2060,"09d3603134dca400350a6a067b51005f67c93a4a","2018-03-31T00:04:11.000Z","2018-03-31T00:16:00.000Z","2018-03-31T00:04:10.000Z","2018-03-31T00:15:59.000Z",1.2962834,1.2947167,103.772,103.77486,372,"2cbe732e8664e98de83703c280b17f0b429b310f"
2078,"6d50f61ef444ff5766e97435333fdfd290eed774","2018-03-31T00:04:18.000Z","2018-03-31T00:14:19.000Z","2018-03-31T00:04:17.000Z","2018-03-31T00:14:18.000Z",1.3009499,1.2945666,103.77385,103.77495,175,"63b76318c412577611b57adbe438a123b6ee6c8a"
2024,"46144126e3d2ce2b63c0e6646602c1b3f6616e40","2018-03-31T00:04:55.000Z","2018-03-31T00:14:56.000Z",null,"2018-03-31T00:14:58.000Z",null,1.2919166,null,103.7805,336,"5131d129d32654da447047dab6a5c43ce4def4ce"
2078,"7c094c3d2926c70ff9f78fdc92dd3520af44de66","2018-03-31T00:05:05.000Z","2018-03-31T00:15:09.000Z","2018-03-31T00:05:04.000Z","2018-03-31T00:15:08.000Z",1.3032334,1.2945666,103.7741,103.77495,4,"a751a504c8728519076dc7c9befbf1c8d6a6d4ef"
2078,"5077157b00b510b7970226def593c0e33f18cb35","2018-03-31T00:05:13.000Z","2018-03-31T00:15:15.000Z","2018-03-31T00:05:12.000Z","2018-03-31T00:15:14.000Z",1.3034333,1.2945666,103.7743,103.77495,6,"8816ec966ca7f888f11ef3efa5cbaf0c55390c75"
2078,"62e72f4519e9aa4f78626e17733cc243070934f6","2018-03-31T00:05:17.000Z","2018-03-31T00:15:18.000Z","2018-03-31T00:05:17.000Z","2018-03-31T00:15:17.000Z",1.3034834,1.2945666,103.77435,103.77495,116,"761d2e1973c3920bc9bef962273a22be840e8bb8"
2024,"501d6dd0f291d12a9bcef47bc389a3191694641d","2018-03-31T00:05:40.000Z","2018-03-31T00:15:41.000Z",null,"2018-03-31T00:15:43.000Z",null,1.2919166,null,103.7805,1,"e5036eb173a5fd317372b27025d56eb7ac0846fe"
2078,"2b0974f85824fe2a347a74b03b403eb601fe9197","2018-03-31T00:05:44.000Z","2018-03-31T00:15:45.000Z","2018-03-31T00:05:43.000Z","2018-03-31T00:15:44.000Z",1.30365,1.2945666,103.77509,103.77495,43,"7e6b83a6ec37665d924a0f92effefe4bdce43b55"
2060,"fd17d7217a0a0e1403a8555c9114e492d99ab41e","2018-03-31T00:06:04.000Z","2018-03-31T00:16:05.000Z","2018-03-31T00:06:04.000Z","2018-03-31T00:16:04.000Z",1.2935001,1.2947167,103.77213,103.77486,239,"bbd9b185239b079336ae597ce5cc6f9e71148e38"
2042,"5bb8783b3e1980262abcce32b816434c67d139b9","2018-03-31T00:06:05.000Z","2018-03-31T00:16:07.000Z","2018-03-31T00:06:04.000Z","2018-03-31T00:16:06.000Z",1.2939333,1.2916334,103.77233,103.78246,131,"d6e270a422ba7fe335de2ffca4ceb1d61287fe6b"
2060,"c809b814e299ef69c1d78a3eff4a9f7cf126f25a","2018-03-31T00:06:29.000Z","2018-03-31T00:16:27.000Z","2018-03-31T00:06:28.000Z","2018-03-31T00:16:26.000Z",1.29415,1.2947,103.77253,103.77486,-2,"2ec626ea9b2af9496fec20bc85700a8439c49d16"
2034,"9312c939c9ccc08782c2955f8a83e639dc8101cb","2018-03-31T00:06:48.000Z","2018-03-31T00:21:49.000Z","2018-03-31T00:06:47.000Z","2018-03-31T00:21:48.000Z",1.2918,1.2933834,103.78035,103.78515,429,"6aa7883c5ba239b7f40fb9e8fa90dca09f41f925"
2034,"475f42677d5909ea3130a9c6c2c5b8f009e37c75","2018-03-31T00:07:16.000Z","2018-03-31T00:26:23.000Z","2018-03-31T00:07:15.000Z","2018-03-31T00:26:22.000Z",1.2912333,1.2928166,103.7816,103.77907,563,"2e983d9e0024c90e9c405879aefb66f25747e552"
2034,"6d9c8fd96656788a53014e7b2d2d578e488cb30e","2018-03-31T00:08:06.000Z","2018-03-31T00:18:09.000Z","2018-03-31T00:08:05.000Z","2018-03-31T00:18:08.000Z",1.2923833,1.2989,103.78437,103.7761,18,"803eadfa45c1598d40ed84d05371bd635a2c5b35"
2078,"4a85a22381d12554ab5e58269f146212c781373f","2018-03-31T00:08:40.000Z","2018-03-31T00:18:46.000Z","2018-03-31T00:08:39.000Z","2018-03-31T00:18:45.000Z",1.3005834,1.2945666,103.77012,103.77495,24,"bd66fd6be4003ee45b7a7eb0c8c371f11c30eb85"
2078,"63689895d75901ef1f6b31faf79837f53450ef71","2018-03-31T00:08:45.000Z","2018-03-31T00:18:47.000Z","2018-03-31T00:08:44.000Z","2018-03-31T00:18:46.000Z",1.3005667,1.2945666,103.7701,103.77495,11,"8277279b4233bba451a37c158875316fc71342f6"
2034,"2648148a904e3f72ebc262a9d63b10f8af694360","2018-03-31T00:08:50.000Z","2018-03-31T00:18:52.000Z","2018-03-31T00:08:49.000Z","2018-03-31T00:18:51.000Z",1.2949001,1.2973,103.78437,103.77828,31,"288399fb9bdbc434f8591bc9d1611b2df207168a"
2034,"dac13a22ad482d23507705059dfb9f1721d18813","2018-03-31T00:09:00.000Z","2018-03-31T00:23:18.000Z","2018-03-31T00:08:59.000Z","2018-03-31T00:23:17.000Z",1.2948834,1.2926667,103.78437,103.78481,460,"544edaf95b47323260ece45db5fb346635cd5813"
2042,"b6eadef6878464ae50b7d298c4c68818b2c7ff34","2018-03-31T00:09:42.000Z","2018-03-31T00:19:43.000Z","2018-03-31T00:09:41.000Z","2018-03-31T00:19:42.000Z",1.3011667,1.2918,103.77338,103.78059,218,"c1366686d9a0b06a69da04b57c559b5d4c6c8986"
2034,"9000284cdd7b90c4f03179448f8d5e24708b193c","2018-03-31T00:10:04.000Z","2018-03-31T00:20:05.000Z","2018-03-31T00:10:03.000Z","2018-03-31T00:20:04.000Z",1.2970166,1.2972,103.78204,103.78185,11,"7e6b83a6ec37665d924a0f92effefe4bdce43b55"
2034,"43179e07141fc5751851a55498c7684049a48881","2018-03-31T00:10:55.000Z","2018-03-31T00:21:01.000Z","2018-03-31T00:10:54.000Z","2018-03-31T00:21:00.000Z",1.2973167,1.2948834,103.78027,103.78457,6,"55bd47e9a1a5c1bfc12fa154ffebcd2a77de1008"
2078,"49185085ba151624d542546ca11c5d13901a57ab","2018-03-31T00:11:09.000Z","2018-03-31T00:21:14.000Z","2018-03-31T00:11:08.000Z","2018-03-31T00:21:13.000Z",1.2922666,1.2945666,103.77425,103.77495,5,"94d4dc849197d4101b72b576c2f148b0167d7b27"
2074,"6f905af844b8163ee4eee45fd33e13bc080edcc8","2018-03-31T00:11:22.000Z","2018-03-31T00:29:15.000Z","2018-03-31T00:11:21.000Z","2018-03-31T00:29:13.000Z",1.2942166,1.2942001,103.76981,103.7695,522,"538ce6150522a60a752828deb001e7ae83f4bc67"
